reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app
91dcfa6d-fe7d-4aba-9d77-a58abb93fd48,dclxvi,https://play-lh.googleusercontent.com/a-/ALV-UjVzvGkzJGWoAReLSOJQ9VrZINfBj_D5IRjzvbfOCqRdyq73JJeZ,apk ga jelas buka apk lemot kuota mahal mahal sinyal kadang bagus kadang jelek yg paling anjim gua baru beli pulsa kuota masih ada utang pulsa ga ada di diemin 2 hari di liat lagi sisa 500 perak kartu korup cuihhh. ganti aja ke kartu yg lain,1,0,9.0.1,2025-09-05 11:34:12,"Maaf Kak Dclxvi. Silakan akses aplikasi MyTelkomsel untuk mendapatkan penawaran paket datanya. Untuk kendala sinyal, coba restart handphone Kakak. Perihal aplikasi lambat silakan coba clear cache dan force close aplikasi, lalu coba login kembali, jika masih kendala hubungi kami melalui DM Instagram @Telkomsel atau chat di tsel.id/chatva 😊 -Fany",2025-09-05 14:23:33,9.0.1,MyTelkomsel
9f78a7b5-4128-4bf2-b3db-86b203adf4fe,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,beli paket setiap bulan naik harga sinyal nya masih lemot dan tidak ada solusi yang terbaik,1,0,9.0.1,2025-09-05 11:31:58,"Hai Kak. Maaf bikin gak nyaman. Terkait tarif paket, silakan akses aplikasi MyTelkomsel untuk mendapatkan lebih banyak pilihan dan penawaran paket datanya ya Kak, untuk kendala sinyal silakan coba restart handphone Kakak. Jika masih terdapat kendala silakan hubungi kami di DM Instagram @telkomsel atau chat di tsel.id/chatva. -Fany",2025-09-05 14:24:30,9.0.1,MyTelkomsel
dde6186e-94e5-4120-9e63-097b93a78165,Cicka Nasya,https://play-lh.googleusercontent.com/a/ACg8ocI5DE2MzkNNFfrvj0st4bbFPKAmUZWSubHeXRXt4kx76vu5CA=mo,ok,5,0,9.0.1,2025-09-05 11:25:59,,,9.0.1,MyTelkomsel
fb2f5af3-1d7d-409b-8622-e49fc149b727,Hezekiyel Parsaulian,https://play-lh.googleusercontent.com/a/ACg8ocKxG2h4kR5qeVRpUwtQgYO4yqf1EcXN40hfIT66AIAlGkJAJQ=mo,banyak ganguan terus padahal jaringan bagus,1,0,9.0.1,2025-09-05 11:24:53,"Hai Kak Hezekiyel. Mohon maaf untuk ketidaknyamanannya ya, silakan coba cara berikut ya Kak:
1. Clear cache aplikasi
2. Force close aplikasi
lalu coba login kembali, apabila masih mengalami gangguan pada aplikasi MyTelkomselnya =, silakan hubungi kami melalui DM Instagram @Telkomsel atau chat di tsel.id/chatva. Semoga membantu. 😊 -Fany",2025-09-05 14:25:15,9.0.1,MyTelkomsel
0ddcf92b-9d2c-403b-a86e-3f63a462cd81,DAFA N. F,https://play-lh.googleusercontent.com/a-/ALV-UjUSmphm_PU12MzvamKpbkcwhcni8PPDHuenY9TdK_XBMSad9G6Y,"Heyyyyy jangan cumaaa naikin harga naikin kualitas sinyal yg di plosokkkk jugaaaaaa dah beli kuat 70gb 120k malahhhh nambah jelek jaringan, apalagiiii sekarang Ahhhhhhhh orang mau beli selalu ada muat ulang padahal udh update segala giliran masuk apk malah ngelag padahal nonton yt TT Ig aman aja ini mau masuk Telkomsel malah ngelag parahh gajelas banget",1,0,8.7.0,2025-09-05 11:16:39,"Hai Kak Dafa. Mohon maaf untuk ketidaknyamanannya. Untuk keluhan penggunaan kuota, Kakak bisa langsung menghubungi kami di DM Instagram @Telkomsel atau hubungi kami di tsel.id/chatva. Semoga membantu. :) -Sekar",2024-11-07 08:33:30,8.7.0,MyTelkomsel
264bcab1-f509-4db3-a5fd-39a7e3093738,Supar Tono,https://play-lh.googleusercontent.com/a/ACg8ocIx6CWDT0anIWUxNE7s-tfsSiv9LUiM_tnfvyJrtWHB_F8TwQ=mo,"aplikasi yang zalim, g recomend",1,0,,2025-09-05 11:13:09,Hai Kak Supar. Mohon maaf untuk ketidaknyamanannya. Untuk kendala pada aplikasi MyTelkomsel Kakak bisa langsung menghubungi kami di DM Instagram @Telkomsel atau hubungi kami di tsel.id/chatva. Semoga membantu. 😊 -Fany,2025-09-05 13:20:30,,MyTelkomsel
d6dc4544-79bd-45ad-85b3-f82d22e72450,Hana Mahesa,https://play-lh.googleusercontent.com/a-/ALV-UjXvL937ZhJW71yxPy_mzsWe7CsXbmr2zFzfFaeZ6dbRpQJoPWkE,"Permisi, bisakah minta tolong spam telp di nomor telkomsel saya ini dihentikan, kendalany dari dulu ini aja, ga pernah merasa aman",1,0,9.0.1,2025-09-05 11:12:41,Hai Kak Hana. Mohon maaf untuk ketidaknyamanannya. Untuk kendala Spam silakan hubungi kami melalui DM Instagram @Telkomsel atau chat di tsel.id/chatva untuk mendapat bantuan lebih lanjut 😊 -Fany,2025-09-05 14:30:54,9.0.1,MyTelkomsel
7b5d032c-76f5-41c1-994c-96fd0b8248c4,Alfajriheri777 Heri,https://play-lh.googleusercontent.com/a/ACg8ocLprN9uQ-nrVvGMUYf7rN6IrsvCrcbBX8nsHOa70yVkKEDmZQ=mo,good,4,0,,2025-09-05 11:07:02,,,,MyTelkomsel
157661af-c16a-42c1-8386-4bb7c5f94498,anugra putra darmawan,https://play-lh.googleusercontent.com/a-/ALV-UjUbGMiynuD55_3g3J_nGIUX37YfYIWh2dIfSy7An8eVKvvIgEc,lumayan membaik,5,0,9.0.1,2025-09-05 11:05:41,,,9.0.1,MyTelkomsel
6f5c10e2-10f3-4092-bf75-858dbe866bc6,Ichsannuddin Ichsan,https://play-lh.googleusercontent.com/a-/ALV-UjUtt5NvJDR4gHxO4QLIHfsOIhAWeTXstrS7Oe-hw1WOwT_qHTpP,"dari jaman SD sampe sekrng ini Telkomsel problem Mulu g selesai "" niat ga sih? eror Mulu klau beli paketan pelanggan udh lama tapi g pernh dpt bonus !!!",1,0,,2025-09-05 11:05:13,Hai Kak Ichsannuddin. Mohon maaf untuk ketidaknyamanannya. Untuk kendalanya Kakak bisa langsung menghubungi kami di DM Instagram @Telkomsel atau hubungi kami di tsel.id/chatva. Semoga membantu. 😊 -Fany,2025-09-05 14:26:35,,MyTelkomsel
b2221b75-7b16-425b-9b41-63300116582b,Tetin Supartini,https://play-lh.googleusercontent.com/a/ACg8ocJiIDko55-p6MMdWmu7D8jofAnyif_xrzLY8jxXS5c_chUKew=mo,👍 mantaap 👍,5,0,9.0.1,2025-09-05 11:02:16,,,9.0.1,MyTelkomsel
a189070b-8cf6-4038-b2c3-cac4f26b6524,Ainun Mardiyah,https://play-lh.googleusercontent.com/a-/ALV-UjVWk5mj-C1_0W6TuE5i0474Ojt-gSCwGrZkqN8go6-XmlH89y0,"apk jelek, udah di refresh berkali kali juga tetap gamau terbuka menunya padahal jaringan saya bagus, mana ni apk ngelag parah, error mulu",1,0,,2025-09-05 10:59:17,"Hai Kak Ainun. Mohon maaf untuk ketidaknyamanannya ya, silakan coba cara berikut ya Kak:
1. Clear cache aplikasi
2. Force close aplikasi
lalu coba login kembali, apabila masih mengalami kendala, silakan hubungi kami melalui DM Instagram @Telkomsel atau chat di tsel.id/chatva. Semoga membantu. 😊 -Fany",2025-09-05 11:29:12,,MyTelkomsel
f63dc698-fc45-4a15-a5d7-e1e7b9f5ec69,Irul Aja,https://play-lh.googleusercontent.com/a/ACg8ocL9WbjwN1CwalXn6qQBWyIjW6Gt3Fh7uAKiWZyD_UuufqUFeg=mo,Telkomsel mantaap,5,0,9.0.1,2025-09-05 10:58:00,,,9.0.1,MyTelkomsel
bfb3e2c4-58f0-425f-9420-e8648b5e4e79,irsad nasruloh,https://play-lh.googleusercontent.com/a-/ALV-UjW4QTXFH2PsmhDafWzog1_MuLM1uZtw6MN4Sq1bi1VGeMH4tjvD6g,telkomsel babi,1,0,9.0.1,2025-09-05 10:54:40,"Hai Kak Irsad, silakan akses aplikasi MyTelkomsel untuk mendapatkan lebih banyak pilihan dan penawaran paket datanya ya, untuk kendala jaringan silakan coba restart handphone kakak. Apabila masih terdapat kendala silakan hubungi kami di DM Instagram @telkomsel atau chat di tsel.id/chatva. Semoga membantu. :) -Edo",2025-04-06 06:27:11,9.0.1,MyTelkomsel
7343bd0d-d15b-44e5-83c5-e7f7eb880f92,Dewi wahyuni lubis,https://play-lh.googleusercontent.com/a/ACg8ocI83xN4wbVQoo5yVCHlba-BmTh4rC4nh76oeos3Y9QNx1_PKQ=mo,KEMANAKAH LARI NYA DATA INTERNET YANG BELUM HABIS TETAPI MASA WAKTU SUDAH HABIS??? KOROP YAAAA,1,0,,2025-09-05 10:52:33,"Hai Kak Dewi. Mohon maaf untuk ketidaknyamanannya. Untuk kendala paket yang sudah habis masa aktifnya maka akan terhapus secara otomatis ya Kak, meskipun kuota dari paket masih tersisa. Jika ada kendala lain, Kakak bisa langsung menghubungi kami di DM Instagram @Telkomsel atau hubungi kami di tsel.id/chatva. Semoga membantu. 😊 -Fany",2025-09-05 11:30:57,,MyTelkomsel
6bda1df6-e894-4704-89ed-c10afdd34e55,Prahasta Helge,https://play-lh.googleusercontent.com/a-/ALV-UjXGZKZkMZ3B8SdtZZrONQxAB-GfBBspJJiY1xUYqGLwyP3aCVE,apa apaan orang belum kuota udah di potong pulsa ku gajelas,1,0,8.7.0,2025-09-05 10:50:27,"Hai Kak Prahasta. Mohon maaf untuk ketidaknyamanannya, karena kami memerlukan informasi lebih lanjut untuk membantu Kakak terkait keluhan pemotongan pulsa, silakan hubungi kami melalui DM Instagram @Telkomsel atau chat di tsel.id/chatva untuk mendapat bantuan lebih lanjut 😊 -Fany",2025-09-05 11:30:16,8.7.0,MyTelkomsel
